Sr No.,State,Total Cost of Living 1,Total Cost Of Living Ranking,Total Disposable Income 2,Disposable Income Ranking,Rank by wage,Annual Average Wage 1,Rank by transportatoin cost,Average Transportation Cost 1,Rank by median home price,Median Home Price,Monthly Mortgage Payment,Rank by rent price,Rent Price,Rank by median monthly housing cost,Median Monthly Housing Cost 1,Total Annual Food Cost 1,Rank by healthcare cost,Annual Healthcare Cost 1,Rank by annual taxes,Average Annual Taxes
32,Michigan,"$ 37,111",32,"$ 20,889",11,22,"$ 58,000",24,5281,39,"$ 2,35,361","$ 1,406",31.0,"$1,103",32,1122.07,3906,29,"$ 9,523.67",20,4936
33,South Dakota,"$ 36,864",33,"$ 13,026",48,47,"$ 49,890",40,4981,30,"$ 2,96,109","$ 1,769",46.0,$973,41,1042.76,3930,8,"$ 11,736.00",50,3704
34,North Carolina,"$ 36,702",34,"$ 19,518",18,26,"$ 56,220",31,5121,26,"$ 3,20,096","$ 1,912",23.0,"$1,272",27,1165.23,3887,41,"$ 8,607.00",15,5105
35,Indiana,"$ 36,207",35,"$ 17,293",30,37,"$ 53,500",30,5126,40,"$ 2,31,660","$ 1,384",32.0,"$1,102",40,1048.59,3930,20,"$ 9,913.67",27,4655
36,Ohio,"$ 35,932",36,"$ 20,598",12,25,"$ 56,530",27,5233,42,"$ 2,18,667","$ 1,306",36.0,"$1,075",37,1066.09,4046,18,"$ 10,092.67",49,3767
37,Iowa,"$ 35,871",37,"$ 17,649",27,36,"$ 53,520",16,5388,44,"$ 2,11,054","$ 1,261",47.0,$972,39,1056.76,3882,32,"$ 9,264.67",28,4655
38,North Dakota,"$ 35,707",38,"$ 20,093",13,30,"$ 55,800",15,5431,36,"$ 2,51,062","$ 1,500",48.0,$869,44,997.27,3793,14,"$ 10,741.00",48,3774
39,Louisiana,"$ 35,576",39,"$ 15,364",42,43,"$ 50,940",20,5324,46,"$ 2,00,370","$ 1,197",41.0,"$1,044",42,1013.6,3734,21,"$ 9,796.33",35,4559
40,Kentucky,"$ 35,508",40,"$ 15,982",38,41,"$ 51,490",19,5351,45,"$ 2,00,955","$ 1,200",45.0,$988,46,964.61,3973,23,"$ 9,777.67",22,4831
41,Missouri,"$ 35,338",41,"$ 19,182",20,33,"$ 54,520",45,4836,38,"$ 2,38,055","$ 1,422",42.0,"$1,043",36,1067.25,3801,31,"$ 9,461.33",37,4432
42,Kansas,"$ 35,185",42,"$ 17,665",26,38,"$ 52,850",48,4729,43,"$ 2,15,642","$ 1,288",32.0,"$1,102",33,1095.25,3882,38,"$ 8,844.67",32,4586
43,West Virginia,"$ 34,861",43,"$ 14,309",45,48,"$ 49,170",18,5357,50,"$ 1,55,773",$ 930,50.0,$732,50,752.33,3836,6,"$ 12,019.00",29,4622
44,South Carolina,"$ 34,826",44,"$ 15,824",39,45,"$ 50,650",39,5017,32,"$ 2,88,816","$ 1,726",21.0,"$1,313",38,1060.25,3930,43,"$ 8,362.00",24,4794
45,Tennessee,"$ 34,742",45,"$ 18,078",24,39,"$ 52,820",42,4929,28,"$ 3,11,628","$ 1,862",28.0,"$1,177",34,1089.41,3840,36,"$ 8,909.33",46,3991
46,New Mexico,"$ 34,501",46,"$ 19,899",16,35,"$ 54,400",41,4970,31,"$ 2,92,822","$ 1,750",24.0,"$1,264",43,1012.43,4531,42,"$ 8,505.00",43,4345
47,Oklahoma,"$ 33,966",47,"$ 16,974",32,44,"$ 50,940",35,5055,48,"$ 1,98,936","$ 1,188",38.0,"$1,071",45,977.44,3683,33,"$ 8,997.33",36,4502
48,Alabama,"$ 33,654",48,"$ 16,966",33,46,"$ 50,620",38,5039,41,"$ 2,23,246","$ 1,334",40.0,"$1,062",47,942.45,3785,40,"$ 8,788.00",26,4733
49,Arkansas,"$ 32,979",49,"$ 15,591",40,49,"$ 48,570",36,5050,47,"$ 1,99,636","$ 1,193",43.0,"$1,008",48,907.46,3745,35,"$ 8,912.00",40,4382
50,Mississippi,"$ 32,336",50,"$ 12,844",49,50,"$ 45,180",43,4853,49,"$ 1,72,654","$ 1,031",35.0,"$1,095",49,871.3,3812,37,"$ 8,852.00",42,4364
